particles,mortality
42.34,88.32
50.98,82.62
56.67,92.52
61.51,86.73
73.11,99.54
57.48,95.5
56.63,92.34
67.47,97.49
71.64,97.9
54.52,97.54
74.98,103.78
74.95,110.17
57.3,116.04
71.59,132.04
69.8,126.95
47.92,121.11
63.78,119.3
59.76,118.2
40.04,102.36
47.44,98.44
42.77,97.87
41.51,92.98
31.86,96.16
41.68,86.83
29.07,91.09
30.83,92.5
44.48,90.64
38.35,80.69
30.98,99.91
37.46,89.09
39.57,94.25
40.28,93.33
31.64,84.08
36.16,86.37
26.97,86.61
45.76,82.47
28.17,82.73
47.48,98.29
37.47,87.02
38.23,91.13
30.47,80.23
32.5,81.36
42.1,82.8
33.92,87.24
30.54,79.37
45.7,86.83
37.03,82
30.5,77.96
33.47,79.69
36.95,87.32
41.08,85.33
56.16,92.02
41.31,84.03
66.01,83.45
56.46,82.35
62.06,89.17
54.2,82.24
73.04,93.35
45.54,89.16
53.33,95.13
67.77,89.1
75.61,100.32
71.46,95.61
63.29,99.61
62.04,105.82
38.94,104.2
63.31,95.45
67.74,90.48
73.76,93.58
70.13,91.71
65.87,95.29
53.98,94.69
52.55,102.5
47.86,98.58
46.35,107.12
63.72,99.29
30.78,96.85
30.02,89.02
38.49,96.27
42.06,97.55
37.61,85.16
40.2,94.77
29.69,85.45
29.53,97.46
25.86,83.31
38.95,91.41
25.7,88.84
27.84,86.44
35.82,82.08
35.45,83.63
42.62,95.22
25.63,80.28
33.96,85.59
42.15,84.68
37.38,81.53
30.58,89.2
23.68,74.51
33.1,81.85
36.67,81.97
38.6,85.01
45.79,86.98
33.46,81.67
50.93,91.11
41.47,83.38
28.15,86.18
54.62,89.93
59.46,91.82
35.47,92.27
52.77,89.29
65.32,85.41
66.49,96.78
62.46,83.6
60.38,98.63
72.83,90.86
53.78,94.36
81.09,97.52
44.05,108.68
65.68,107.23
45.98,107.08
77.13,113.39
69.77,105.51
51.34,111.9
43.97,110.44
45.11,95.42
49.49,97.78
68.46,90.38
32.69,86.89
35.97,91.59
40.71,85.51
27.56,88.16
38.52,87.03
24.95,88.61
28.94,96.96
27.64,80.03
34.4,80.53
38.51,76.46
27.59,78.85
27.26,87.03
30.53,82.27
28.93,78.92
31.07,72.75
21.8,77.75
39.47,83.79
32.09,82.13
38.39,76.42
24.72,74.58
36.54,79.61
33.27,76.52
42.32,79.27
24.6,74.7
34.57,75.49
42.28,82.82
42.04,80.29
32.93,80.05
55.42,78.64
47.8,79.4
49.69,71.02
32.25,73.55
62.39,79.6
39.47,85.08
71.81,90.14
66.09,82.26
66.65,86.75
87.02,90.11
70.08,94.86
75.04,89.68
57.53,90.16
86.54,85.73
74.91,96.82
65.11,100.37
77.79,93.43
68.15,94.12
56.86,89.26
72.82,91.81
28.88,97.4
46.97,102.71
46.06,101.94
45.68,97.4
34.93,96.12
42.69,105.45
49.61,94.34
34.81,92.51
32.69,88.47
37.25,85.47
30.87,85.7
33.85,84.48
37.26,85.63
30.77,79.67
41.64,80.78
24.47,74.58
27.11,76.32
26.35,80.37
31.02,83.3
31.12,82.98
51.07,91.34
31.41,78.57
38.8,76.68
20.25,76.47
39.55,73.66
24.78,78.61
34.29,83.4
28.97,71.96
23.49,77.17
43.61,72.38
35.53,79.52
37.07,72.05
26.8,75.86
32.85,74.32
32.26,77.7
62.64,82.99
46.12,77.79
39.81,77.42
58.6,85.55
62.88,85.33
55.21,82.16
70.06,83.74
68.84,84.4
72.52,90.32
76.28,82.74
70.51,91.5
82.92,96.23
59.98,92.9
49.06,92.3
73.6,91.76
66.53,92.34
58.9,78.91
73.23,88.06
63.09,81.91
59.88,79.68
38.2,83.2
50.47,84.05
42.62,85.8
43.78,84.39
32.37,91.74
38.38,90.65
38.56,89.67
29.4,86.24
42.67,91.46
26.34,83.3
25.97,83.05
25.43,74.14
31.87,90.12
24.29,83.84
39.16,79.94
25.12,74.65
29.09,77.89
44.28,78.06
30.82,74.96
35.48,77.9
32,73.65
42.21,79.32
50.72,82.91
35.68,79.48
42.33,73.21
38.64,76.46
31.34,73.76
35.67,68.11
46.25,76.53
28.99,68.46
40.95,72.84
43.52,79.92
55.96,73.26
62.68,79.55
55.11,77.02
58.2,78.39
46.54,81.86
70.18,88.2
63.47,75.69
54.2,88.85
79.33,82.52
84.63,87.44
61.3,82.91
45.23,92.84
49.39,91.85
55.44,89.82
52.89,96.84
49.81,99.56
70.13,105.1
51.2,95.7
33.42,93.46
51.38,99.27
44.75,90.39
29.73,85.85
40.61,86.69
38.54,92.94
33.52,86.63
27.99,89.78
33.03,83.22
28.45,86.04
34.62,81.53
28.5,77.46
36.68,76.63
38.51,82.09
36.46,81.22
31.67,70.96
29.37,80.17
45.1,78.48
37.34,76.8
40.83,77.63
26.23,74.31
41.39,76.3
54.79,85.97
48.53,73.07
49.52,76.29
48.24,75.21
38.98,79.18
48.3,78.25
50.38,77.24
46.98,81.55
37.37,75.46
33.96,76.86
42,88.43
83.31,92.93
56.31,77.65
80.37,78.74
44.22,73.63
56.81,82.11
65.55,80.81
54.19,84.34
59,83.48
34.21,76.4
70.47,92.77
45.77,88.09
58.69,96.2
68.59,100.28
69.01,107.58
41.98,93.73
57.91,87.33
40.87,88.11
49.12,88.07
36.65,100.81
97.94,95.52
40.38,91.14
41.46,85.67
52.88,88.24
66.78,88.61
33.82,85.64
36.4,87.29
35.32,83.92
41.24,89.15
37.87,87.61
45.54,81.99
37.26,84.86
35.95,81.17
42.48,87.33
42.84,86.4
34.24,85.9
37.36,79.01
39.51,83.49
54.25,87.88
37.89,74.94
48.03,80.32
43.51,81.75
48.69,78.68
54.48,74.62
49.22,74.16
50.34,71.5
55.97,75.89
35.5,74.89
62.81,77.36
38.61,73.63
63.6,81.17
57.53,83.91
54.97,82.36
47.22,79.74
69.14,73.46
42.17,79.03
45.59,76.56
70.72,78.52
57.58,89.43
62.61,85.49
